id,symbol,side,timeframe,regime,score,rsi,adx,atr,entry_price,stop_loss,take_profit,rr_ratio,status,invalidation_reason,sent_at,outcome
16,DOT,SHORT,4h,BEAR_STACK,7.25,42.2,18.81,0.013681875750594888,1.2103367,1.235024687319406,1.1759189840768363,1.39,INVALIDATED,Timing de entrada perdido,1777564010,FAIL
15,SOL,SHORT,4h,BEAR_STACK,7.2,38.7,16.71,0.7400536404869636,83.11550011,84.20956070027573,81.35887407711995,1.61,INVALIDATED,Timing de entrada perdido,1777543505,FAIL
14,DOT,SHORT,4h,BEAR_STACK,6.8,33.77,17.96,0.01342586649122557,1.21167613,1.219620139529586,1.1688703641927534,5.39,INVALIDATED,Timing de entrada perdido,1777503323,FAIL
13,DOT,SHORT,4h,BEAR_STACK,6.8,33.77,17.96,0.01342586649122557,1.20404431,1.219620139529586,1.1688703641927534,2.26,INVALIDATED,Timing de entrada perdido,1777496541,FAIL
12,DOT,SHORT,4h,BEAR_STACK,8.3,43.88,17.27,0.012977709057394385,1.2450026,1.2673823525988401,1.2113186494708965,1.51,INVALIDATED,Timing de entrada perdido,1777152518,FAIL
11,DOT,SHORT,4h,BEAR_STACK,8.3,41.29,18.41,0.014547249816408188,1.2456906,1.2628386304211823,1.1999945112142987,2.66,INVALIDATED,Timing de entrada perdido,1777028361,FAIL
10,DOT,SHORT,4h,BEAR_STACK,8.3,41.29,18.41,0.014547249816408188,1.240803,1.2628386304211823,1.1999945112142987,1.85,INVALIDATED,Timing de entrada perdido,1777021355,FAIL
9,BTC,LONG,4h,BULL_STACK,6.05,58.45,21.47,656.372240461374,78131.00251182,77060.50430856447,79659.73838079152,1.43,INVALIDATED,Timing de entrada perdido,1776995316,FAIL
8,DOT,SHORT,4h,BEAR_STACK,9.8,41.56,16.82,0.015384429706846163,1.24153567,1.2673826716539496,1.2009219353203742,1.57,INVALIDATED,Timing de entrada perdido,1776995315,FAIL
7,BTC,LONG,4h,BULL_STACK,6.9,55.76,21.6,669.6480666047318,77788.60996280434,76583.24344291583,79235.04978667056,1.2,INVALIDATED,Timing de entrada perdido,1776983763,FAIL
6,TON,LONG,4h,MIXED,6.45,56.02,20.52,0.014723855264839703,1.3736592238052558,1.3471562843285443,1.410763339072652,1.4,INVALIDATED,Timing de entrada perdido,1776897592,FAIL
5,TON,LONG,4h,MIXED,6.45,56.02,20.52,0.014723855264839703,1.3736592238052558,1.3471562843285443,1.410763339072652,1.4,INVALIDATED,Régimen alcista perdido,1776894185,FAIL
4,TON,LONG,4h,MIXED,6.4,55.31,21.02,0.015163936048327295,1.3713237832860654,1.3440286983990763,1.4136311648608983,1.55,INVALIDATED,Timing de entrada perdido,1776876625,FAIL
3,TRX,LONG,4h,BULL_STACK,8.15,63.36,23.37,0.001510237080590755,0.33358941640492223,0.3308709896598589,0.3373952138480109,1.4,INVALIDATED,Confirmación macro perdida,1776863021,FAIL
2,TRX,LONG,4h,BULL_STACK,8.3,64.15,22.75,0.0015335906736776525,0.333760596606153,0.3310001333935332,0.3376252451038207,1.4,INVALIDATED,Confirmación macro perdida,1776846336,FAIL
1,TRX,LONG,4h,BULL_STACK,9.15,61.26,22.08,0.0015206547100785723,0.33266295261381845,0.32992577413567703,0.33690557925493764,1.55,INVALIDATED,Confirmación macro perdida,1776832820,FAIL
